Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,포지션
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,
24,김민성,25 2B,0.078,12,10,81.0,39,17,22,0,100.0,4.33,0.5,,0.22,-0.35,,,,,0.37,0.86,0.4,0.77,0.037,0.078,2루수
25,김태진,25 2B,0.074,30,19,187.0,111,44,66,1,99.1,5.29,-1.23,,0.5,0.63,,,,,-0.11,-0.26,0.83,0.72,-0.011,0.074,2루수
26,이도윤,25 2B,0.065,43,30,239.2,119,43,76,0,100.0,4.47,-1.69,,0.64,0.67,,,,,-0.38,-0.79,1.02,0.64,-0.039,0.065,2루수
27,김성현,25 2B,0.051,12,7,61.2,41,17,23,1,97.6,5.84,1.01,,-0.34,-0.46,,,,,0.21,0.98,0.29,0.5,0.021,0.051,2루수
28,이선우,25 2B,0.042,2,1,11.0,7,4,3,0,100.0,5.73,0.34,,0.03,,,,,,0.37,7.64,0.04,0.41,0.038,0.042,2루수
29,김찬형,25 2B,0.04,5,3,21.2,7,3,4,0,100.0,2.91,0.27,,0.06,,,,,,0.33,1.34,0.07,0.4,0.033,0.04,2루수
30,박계범,25 2B,0.039,15,11,100.0,49,25,24,0,100.0,4.41,0.45,,0.27,-0.85,,,,,-0.13,-0.38,0.51,0.38,-0.013,0.039,2루수
31,전민재,25 2B,0.03,4,2,19.0,11,7,4,0,100.0,5.21,0.35,,0.05,-0.18,,,,,0.23,0.43,0.07,0.3,0.023,0.03,2루수
32,김선빈,25 2B,0.028,30,29,217.0,105,44,58,3,97.1,4.23,0.1,,0.07,-1.1,,,,,-0.93,-3.82,1.2,0.27,-0.094,0.028,2루수
33,권혁빈,25 2B,0.026,1,1,5.0,4,1,3,0,100.0,7.2,-0.03,,0.01,0.25,,,,,0.24,11.4,0.02,0.26,0.024,0.026,2루수
34,오선진,25 2B,0.026,6,3,26.0,16,8,7,1,93.8,5.19,0.11,,0.07,-0.03,,,,,0.15,0.34,0.11,0.26,0.015,0.026,2루수
35,고승민,25 2B,0.022,54,52,406.2,232,78,150,4,98.3,5.05,-2.93,,0.07,0.72,,,,,-2.14,-4.33,2.35,0.21,-0.217,0.022,2루수
36,박민석,25 2B,0.014,5,2,12.0,9,4,4,1,88.9,6.0,0.2,,0.03,-0.15,,,,,0.09,0.64,0.05,0.14,0.009,0.014,2루수
37,김병휘,25 2B,0.011,2,0,4.2,2,1,1,0,100.0,3.86,0.08,,0.01,,,,,,0.1,3.43,0.01,0.11,0.01,0.011,2루수
38,장준원,25 2B,0.004,4,2,18.1,11,4,7,0,100.0,5.4,-0.09,,0.05,,,,,,-0.04,-0.26,0.08,0.04,-0.004,0.004,2루수
39,이호준,25 2B,0.002,25,1,48.1,23,7,16,0,100.0,4.28,-0.03,,0.13,-0.18,,,,,-0.08,-0.19,0.1,0.02,-0.008,0.002,2루수
40,최항,25 2B,0.0,1,0,1.0,1,1,0,0,100.0,9.0,-0.01,,0.0,,,,,,-0.01,-0.16,0.01,0.0,-0.001,0.0,2루수
41,심재훈,25 2B,-0.016,15,7,77.0,33,13,20,0,100.0,3.86,-0.68,,0.21,0.0,,,,,-0.48,-2.99,0.32,-0.16,-0.049,-0.016,2루수
42,정준재,25 2B,-0.017,78,66,598.1,335,137,191,7,97.9,4.93,-0.99,,-1.94,0.03,,,,,-2.9,-5.03,2.73,-0.17,-0.295,-0.017,2루수
43,권동진,25 2B,-0.02,4,2,24.0,13,4,9,0,100.0,4.88,-0.35,,0.06,,,,,,-0.28,-0.53,0.09,-0.19,-0.029,-0.02,2루수
44,오윤석,25 2B,-0.024,35,15,161.0,90,40,49,1,98.9,4.98,-0.16,,-0.08,-0.64,,,,,-0.88,-2.34,0.64,-0.24,-0.09,-0.024,2루수
45,김주성,25 2B,-0.025,2,0,3.0,0,0,0,0,0.0,0.0,-0.26,,0.01,,,,,,-0.25,-2.81,0.01,-0.24,-0.026,-0.025,2루수
46,김한별,25 2B,-0.039,13,4,40.2,21,5,16,0,100.0,4.65,-0.63,,0.11,,,,,,-0.53,-1.8,0.14,-0.39,-0.053,-0.039,2루수
47,하주석,25 2B,-0.045,8,8,54.1,21,8,13,0,100.0,3.48,-0.92,,0.15,0.05,,,,,-0.73,-2.05,0.28,-0.45,-0.074,-0.045,2루수
48,최정원,25 2B,-0.047,17,6,73.0,38,16,22,0,100.0,4.68,-0.58,,0.19,-0.35,,,,,-0.73,-2.11,0.27,-0.46,-0.075,-0.047,2루수
49,이영빈,25 2B,-0.059,12,5,48.0,32,11,21,0,100.0,6.0,-0.93,,0.13,-0.01,,,,,-0.82,-3.01,0.24,-0.58,-0.083,-0.059,2루수
50,도태훈,25 2B,-0.062,11,4,45.0,30,10,19,1,96.7,5.8,-0.92,,0.12,,,,,,-0.8,-3.04,0.19,-0.61,-0.082,-0.062,2루수
51,박준순,25 2B,-0.082,10,4,41.0,28,11,16,1,96.4,5.93,-0.82,,-0.4,0.28,,,,,-0.94,-3.3,0.13,-0.81,-0.096,-0.082,2루수
52,안치홍,25 2B,-0.083,5,5,35.0,21,5,15,1,95.2,5.14,-0.81,,0.09,-0.26,,,,,-0.97,-3.49,0.15,-0.82,-0.099,-0.083,2루수
53,김준상,25 2B,-0.103,7,4,37.0,15,4,11,0,100.0,3.65,-1.27,,0.1,,,,,,-1.17,-18.74,0.16,-1.01,-0.119,-0.103,2루수
54,안상현,25 2B,-0.106,8,7,59.0,36,10,25,1,97.2,5.34,-1.16,,-0.35,0.21,,,,,-1.3,-3.53,0.26,-1.04,-0.132,-0.106,2루수
55,황영묵,25 2B,-0.132,77,47,470.1,240,85,150,5,97.9,4.5,-2.09,,-0.77,-0.46,,,,,-3.33,-5.99,2.03,-1.3,-0.339,-0.132,2루수
56,오태양,25 2B,-0.136,2,0,3.0,2,1,0,1,50.0,3.0,-0.85,,-0.5,,,,,,-1.35,-24.29,0.01,-1.34,-0.137,-0.136,2루수
57,윤도현,25 2B,-0.155,15,15,110.0,58,22,31,5,91.4,4.34,-2.89,,-0.21,0.94,,,,,-2.16,-16.37,0.64,-1.52,-0.22,-0.155,2루수
58,석정우,25 2B,-0.163,8,6,49.0,26,10,14,2,92.3,4.41,-1.64,,-0.38,0.21,,,,,-1.81,-12.4,0.21,-1.6,-0.184,-0.163,2루수
59,안주형,25 2B,-0.17,4,4,26.0,13,5,7,1,92.3,4.15,-1.16,,-0.44,-0.19,,,,,-1.79,-42.96,0.12,-1.67,-0.182,-0.17,2루수
60,박찬형,25 2B,-0.187,5,3,28.1,24,10,12,2,91.7,6.99,-1.05,,-0.94,0.0,,,,,-1.99,-15.07,0.15,-1.84,-0.203,-0.187,2루수
61,강민성,25 2B,-0.192,12,5,57.2,37,16,21,0,100.0,5.77,-1.9,,0.15,-0.34,,,,,-2.08,-15.0,0.2,-1.88,-0.212,-0.192,2루수
62,서호철,25 2B,-0.212,9,4,49.2,30,14,15,1,96.7,5.26,-1.72,,-0.37,-0.21,,,,,-2.3,-5.81,0.22,-2.08,-0.234,-0.212,2루수
63,신민재,25 2B,-0.412,80,67,592.1,339,141,191,7,97.9,5.04,-4.28,,-1.96,-0.65,,,,,-6.89,-12.11,2.85,-4.04,-0.702,-0.412,2루수
64,양우현,25 2B,,1,0,2.0,0,0,0,0,0.0,0.0,-0.13,,0.01,,,,,,-0.12,-8.72,,,-0.012,,2루수
64,김태윤,25 2B,,2,0,2.0,1,0,1,0,100.0,4.5,0.19,,0.01,,,,,,0.2,5.69,,,0.02,,2루수
64,이승현,25 2B,,2,0,3.0,0,0,0,0,0.0,0.0,0.0,,0.01,,,,,,0.01,0.2,,,0.001,,2루수
64,박경수,25 2B,,1,0,0.2,0,0,0,0,0.0,0.0,-0.01,,0.0,,,,,,-0.01,-0.87,,,-0.001,,2루수
64,이태경,25 2B,,1,0,1.0,0,0,0,0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.31,,,0.0,,2루수
64,홍대인,25 2B,,1,0,1.0,1,0,1,0,100.0,9.0,0.18,,0.0,,,,,,0.19,3.36,,,0.019,,2루수
64,고영우,25 2B,,1,0,2.0,0,0,0,0,0.0,0.0,0.0,,0.01,,,,,,0.0,0.02,,,0.0,,2루수
1,김영웅,25 3B,0.523,67,63,533.2,161,45,108,8,95.0,2.58,4.02,,0.92,0.22,-0.03,,,,5.13,10.13,0.0,5.13,0.523,0.523,3루수
2,오선진,25 3B,0.39,20,9,93.0,27,5,22,0,100.0,2.61,2.88,,0.34,0.62,,,,,3.83,8.76,0.0,3.83,0.39,0.39,3루수
3,송성문,25 3B,0.382,64,61,534.0,182,69,105,8,95.6,2.93,3.39,,0.42,-0.57,0.51,,,,3.75,5.87,0.0,3.75,0.382,0.382,3루수
4,서호철,25 3B,0.349,16,9,91.0,29,9,18,2,93.1,2.67,2.72,,0.33,0.66,-0.29,,,,3.42,8.65,0.0,3.42,0.349,0.349,3루수
5,임종성,25 3B,0.331,32,26,212.0,57,22,33,2,96.5,2.33,2.3,,0.26,0.79,-0.1,,,,3.25,14.17,0.0,3.25,0.331,0.331,3루수
6,구본혁,25 3B,0.31,35,15,146.1,34,10,24,0,100.0,2.09,1.41,,0.53,0.37,0.74,,,,3.05,5.22,0.0,3.05,0.31,0.31,3루수
7,김도영,25 3B,0.293,22,22,180.0,51,9,39,3,94.1,2.4,2.41,,-0.36,0.88,-0.06,,,,2.87,15.32,0.0,2.87,0.293,0.293,3루수
8,위즈덤,25 3B,0.29,35,35,259.2,80,21,56,3,96.3,2.67,2.66,,-0.07,0.19,0.07,,,,2.85,5.95,0.0,2.85,0.29,0.29,3루수
9,변우혁,25 3B,0.231,29,24,213.0,69,17,48,4,94.2,2.75,2.16,,0.27,-0.15,0.0,,,,2.27,8.17,0.0,2.27,0.231,0.231,3루수
10,김찬형,25 3B,0.161,28,20,167.1,55,15,37,3,94.5,2.8,1.48,,-0.91,0.87,0.15,,,,1.59,6.52,0.0,1.59,0.161,0.161,3루수
11,강민성,25 3B,0.145,6,0,9.0,6,2,4,0,100.0,6.0,1.11,,0.03,0.28,,,,,1.42,10.23,0.0,1.42,0.145,0.145,3루수
12,강승호,25 3B,0.138,30,29,244.0,82,24,53,5,93.9,2.84,1.82,,-0.63,-0.33,0.5,,,,1.36,2.57,0.0,1.36,0.138,0.138,3루수
13,전병우,25 3B,0.138,31,12,116.2,28,9,19,0,100.0,2.16,0.68,,0.42,0.2,0.05,,,,1.36,4.65,0.0,1.36,0.138,0.138,3루수
14,문정빈,25 3B,0.134,9,2,26.0,4,0,4,0,100.0,1.38,1.14,,0.09,0.09,,,,,1.32,9.04,0.0,1.32,0.134,0.134,3루수
15,최정,25 3B,0.078,12,12,102.0,24,5,18,1,95.8,2.03,0.35,,0.37,0.04,,,,,0.76,2.2,0.0,0.76,0.078,0.078,3루수
16,여동건,25 3B,0.059,1,0,2.0,1,0,1,0,100.0,4.5,0.57,,0.01,,,,,,0.58,7.56,0.0,0.58,0.059,0.059,3루수
17,김민수,25 3B,0.057,6,0,13.0,4,0,4,0,100.0,2.77,0.51,,0.05,,,,,,0.56,6.2,0.0,0.56,0.057,0.057,3루수
18,송지후,25 3B,0.056,1,0,3.0,1,0,1,0,100.0,3.0,0.54,,0.01,,,,,,0.55,3.3,0.0,0.55,0.056,0.056,3루수
19,박승욱,25 3B,0.05,5,2,19.0,5,1,4,0,100.0,2.37,0.42,,0.07,0.0,,,,,0.49,2.13,0.0,0.49,0.05,0.05,3루수
20,홍종표,25 3B,0.049,7,3,29.0,10,4,6,0,100.0,3.1,0.38,,0.11,,,,,,0.49,1.59,0.0,0.49,0.049,0.049,3루수
21,이도윤,25 3B,0.037,3,1,11.0,2,2,0,0,100.0,1.64,0.32,,0.04,,,,,,0.36,0.75,0.0,0.36,0.037,0.037,3루수
22,박찬형,25 3B,0.029,8,7,63.0,13,5,8,0,100.0,1.86,-0.56,,0.23,0.23,0.39,,,,0.28,2.14,0.0,0.28,0.029,0.029,3루수
23,천성호,25 3B,0.018,10,8,58.0,13,4,9,0,100.0,2.02,-0.45,,0.21,0.42,,,,,0.17,0.54,0.0,0.17,0.018,0.018,3루수
24,박준영,25 3B,0.012,2,0,2.1,1,1,0,0,100.0,3.86,0.11,,0.01,,,,,,0.12,0.42,0.0,0.12,0.012,0.012,3루수
25,박준순,25 3B,0.009,25,22,199.0,80,18,53,9,88.8,3.21,0.67,,-0.8,0.05,0.16,,,,0.08,0.29,0.0,0.08,0.009,0.009,3루수
26,김수윤,25 3B,0.004,7,5,35.0,14,4,8,2,85.7,3.09,0.42,,0.13,0.4,-0.9,,,,0.04,0.86,0.0,0.04,0.004,0.004,3루수
27,김휘집,25 3B,0.003,74,71,573.2,182,60,109,13,92.9,2.65,2.77,,-1.97,-0.38,-0.39,,,,0.03,0.05,0.0,0.03,0.003,0.003,3루수
28,정현창,25 3B,0.003,1,1,8.0,0,0,0,0,0.0,0.0,0.0,,0.03,,,,,,0.03,0.91,0.0,0.03,0.003,0.003,3루수
29,하주석,25 3B,0.001,1,0,2.0,0,0,0,0,0.0,0.0,,,0.01,,,,,,0.01,0.02,0.0,0.01,0.001,0.001,3루수
30,이재상,25 3B,0.0,1,0,2.0,0,0,0,0,0.0,0.0,0.0,,0.01,,,,,,0.0,0.26,0.0,0.0,0.0,0.0,3루수
31,한재환,25 3B,0.0,1,0,2.1,0,0,0,0,0.0,0.0,-0.01,,0.01,,,,,,0.0,0.03,0.0,0.0,0.0,0.0,3루수
32,서유신,25 3B,0.0,2,0,2.0,0,0,0,0,0.0,0.0,-0.01,,0.01,,,,,,0.0,0.04,0.0,0.0,0.0,0.0,3루수
33,이유찬,25 3B,0.0,3,1,2.2,0,0,0,0,0.0,0.0,-0.01,,0.01,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3루수
34,양도근,25 3B,-0.012,13,6,63.2,22,5,15,2,90.9,2.83,0.54,,-0.28,-0.43,0.05,,,,-0.12,-0.23,0.0,-0.12,-0.012,-0.012,3루수
35,허경민,25 3B,-0.028,64,62,532.2,146,48,92,6,95.9,2.37,-1.43,,0.92,-0.19,0.43,,,,-0.27,-0.6,0.0,-0.27,-0.028,-0.028,3루수
36,손호영,25 3B,-0.033,48,47,408.1,126,33,83,10,92.1,2.56,-1.25,,0.97,0.09,-0.13,,,,-0.32,-0.87,0.0,-0.32,-0.033,-0.033,3루수
37,오명진,25 3B,-0.037,9,9,73.0,18,6,12,0,100.0,2.22,-0.68,,0.26,0.0,0.05,,,,-0.37,-0.79,0.0,-0.37,-0.037,-0.037,3루수
38,한태양,25 3B,-0.04,9,0,18.0,1,0,1,0,100.0,0.5,-0.46,,0.07,,,,,,-0.39,-0.96,0.0,-0.39,-0.04,-0.04,3루수
39,윤도현,25 3B,-0.046,2,1,12.0,5,2,3,0,100.0,3.75,-0.5,,0.04,,,,,,-0.46,-3.45,0.0,-0.46,-0.046,-0.046,3루수
40,장준원,25 3B,-0.048,3,0,8.0,1,1,0,0,100.0,1.13,-0.5,,0.03,,,,,,-0.47,-2.82,0.0,-0.47,-0.048,-0.048,3루수
41,이영빈,25 3B,-0.052,11,5,50.0,10,2,8,0,100.0,1.8,-0.78,,0.18,0.09,,,,,-0.51,-1.87,0.0,-0.51,-0.052,-0.052,3루수
42,김한별,25 3B,-0.056,19,3,47.0,10,4,6,0,100.0,1.91,-0.5,,0.17,-0.28,0.06,,,,-0.55,-1.88,0.0,-0.55,-0.056,-0.056,3루수
43,양현종,25 3B,-0.064,6,2,16.0,4,1,2,1,75.0,1.69,-0.69,,0.06,,,,,,-0.63,-10.06,0.0,-0.63,-0.064,-0.064,3루수
44,박계범,25 3B,-0.069,16,3,52.2,14,2,11,1,92.9,2.22,-0.35,,0.19,-0.51,,,,,-0.68,-1.95,0.0,-0.68,-0.069,-0.069,3루수
45,최정원,25 3B,-0.072,1,1,4.0,4,2,1,1,75.0,6.75,-0.72,,0.01,,,,,,-0.7,-2.02,0.0,-0.7,-0.072,-0.072,3루수
46,손용준,25 3B,-0.077,2,2,13.0,5,1,3,1,80.0,2.77,-0.62,,-0.46,0.33,,,,,-0.75,-27.05,0.0,-0.75,-0.077,-0.077,3루수
47,도태훈,25 3B,-0.079,6,1,22.0,4,1,2,1,75.0,1.23,-0.85,,0.08,,,,,,-0.77,-2.92,0.0,-0.77,-0.079,-0.079,3루수
48,이승원,25 3B,-0.082,1,1,5.0,1,0,0,1,0.0,0.0,-0.82,,0.02,,,,,,-0.81,-116.13,0.0,-0.81,-0.082,-0.082,3루수
49,노시환,25 3B,-0.085,89,89,788.1,206,60,135,11,94.7,2.23,-1.52,,0.33,0.0,0.35,,,,-0.84,-1.34,0.0,-0.84,-0.085,-0.085,3루수
50,류지혁,25 3B,-0.099,11,8,70.0,15,4,10,1,93.3,1.8,-0.72,,-0.25,0.0,,,,,-0.97,-1.67,0.0,-0.97,-0.099,-0.099,3루수
51,여동욱,25 3B,-0.099,9,5,41.0,13,6,5,2,84.6,2.41,-0.67,,-0.36,0.06,,,,,-0.97,-12.76,0.0,-0.97,-0.099,-0.099,3루수
52,전태현,25 3B,-0.1,13,9,80.0,19,5,13,1,94.7,2.03,-1.43,,0.29,0.11,0.05,,,,-0.98,-2.4,0.0,-0.98,-0.1,-0.1,3루수
53,송찬의,25 3B,-0.101,3,0,6.0,0,0,0,0,0.0,0.0,-1.01,,0.02,,,,,,-0.99,-2.19,0.0,-0.99,-0.101,-0.101,3루수
54,김성현,25 3B,-0.125,18,8,90.0,25,3,20,2,92.0,2.3,-1.11,,-0.18,-0.34,0.4,,,,-1.23,-5.71,0.0,-1.23,-0.125,-0.125,3루수
55,고영우,25 3B,-0.148,2,1,9.0,2,1,0,1,50.0,1.0,-1.49,,0.03,,,,,,-1.46,-52.4,0.0,-1.46,-0.148,-0.148,3루수
56,박민,25 3B,-0.156,11,1,30.0,10,2,8,0,100.0,3.0,-0.71,,0.11,-0.65,-0.29,,,,-1.53,-8.48,0.0,-1.53,-0.156,-0.156,3루수
57,이호연,25 3B,-0.158,6,3,28.0,6,3,2,1,83.3,1.61,-0.86,,-0.4,-0.28,,,,,-1.55,-11.76,0.0,-1.55,-0.158,-0.158,3루수
58,김주성,25 3B,-0.18,1,1,4.0,3,0,2,1,66.7,4.5,-1.04,,-0.49,-0.24,,,,,-1.76,-19.55,0.0,-1.76,-0.18,-0.18,3루수
59,김규성,25 3B,-0.25,20,3,64.2,19,6,11,2,89.5,2.37,-2.47,,0.23,-0.27,0.05,,,,-2.46,-4.31,0.0,-2.46,-0.25,-0.25,3루수
60,황재균,25 3B,-0.26,30,27,235.2,39,20,18,1,97.4,1.45,-3.02,,0.35,0.19,-0.07,,,,-2.55,-6.12,0.0,-2.55,-0.26,-0.26,3루수
61,전민재,25 3B,-0.267,7,5,48.0,22,8,13,1,95.5,3.94,-2.05,,-0.33,,-0.24,,,,-2.62,-4.97,0.0,-2.62,-0.267,-0.267,3루수
62,안상현,25 3B,-0.294,30,21,200.1,39,7,30,2,94.9,1.66,-2.65,,-0.29,-0.34,0.39,,,,-2.88,-7.83,0.0,-2.88,-0.294,-0.294,3루수
63,석정우,25 3B,-0.298,16,6,59.2,8,1,5,2,75.0,0.91,-2.18,,-0.29,-0.17,-0.29,,,,-2.93,-20.06,0.0,-2.93,-0.298,-0.298,3루수
64,문보경,25 3B,-0.317,60,58,491.0,135,30,95,10,92.6,2.29,-1.91,,-0.25,-1.06,0.09,,,,-3.12,-5.04,0.0,-3.12,-0.317,-0.317,3루수
65,박지환,25 3B,-0.335,18,17,138.1,43,12,26,5,88.4,2.47,-1.65,,0.0,-0.45,-1.18,,,,-3.29,-18.22,0.0,-3.29,-0.335,-0.335,3루수
66,어준서,25 3B,-0.358,4,4,26.0,6,2,1,3,50.0,1.04,-2.38,,-0.92,-0.23,,,,,-3.52,-7.45,0.0,-3.52,-0.358,-0.358,3루수
67,김민성,25 3B,-0.377,41,31,260.1,68,13,52,3,95.6,2.25,-2.81,,-0.07,-0.31,-0.51,,,,-3.7,-8.75,0.0,-3.7,-0.377,-0.377,3루수
68,박지훈,25 3B,,5,0,6.1,4,2,2,0,100.0,5.68,0.49,,0.02,0.0,,,,,0.51,2.97,,,0.052,,3루수
68,오윤석,25 3B,,1,0,1.0,0,0,0,0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.01,,,0.0,,3루수
68,오서진,25 3B,,1,0,1.0,0,0,0,0,0.0,0.0,-0.01,,0.0,,,,,,-0.01,-0.85,,,-0.001,,3루수
68,김태진,25 3B,,1,0,1.0,0,0,0,0,0.0,0.0,-0.67,,0.0,,,,,,-0.67,-1.64,,,-0.068,,3루수
68,문현빈,25 3B,,1,0,1.0,0,0,0,0,0.0,0.0,,,0.0,,,,,,0.0,0.01,,,0.0,,3루수
1,박성한,25 SS,1.155,84,81,708.2,393,159,220,14,96.4,4.81,4.93,,-0.73,0.22,,,,,4.43,7.59,6.92,11.35,0.451,1.155,유격수
2,하주석,25 SS,1.046,39,32,274.2,112,38,74,0,100.0,3.67,4.53,,1.48,1.74,,,,,7.75,21.89,2.52,10.27,0.79,1.046,유격수
3,박찬호,25 SS,1.03,80,78,662.1,358,141,207,10,97.2,4.73,1.75,,1.05,0.19,,,,,3.0,5.39,7.12,10.12,0.305,1.03,유격수
4,이재현,25 SS,1.005,83,81,674.2,337,131,192,14,95.8,4.31,3.55,,-0.4,0.08,,,,,3.23,5.41,6.64,9.87,0.329,1.005,유격수
5,김주원,25 SS,0.884,86,85,708.2,401,159,221,21,94.8,4.83,3.56,,-2.24,-0.18,,,,,1.14,1.91,7.54,8.68,0.116,0.884,유격수
6,오지환,25 SS,0.873,72,59,520.1,240,80,156,4,98.3,4.08,0.65,,2.3,0.72,,,,,3.67,7.14,4.9,8.57,0.374,0.873,유격수
7,구본혁,25 SS,0.732,44,31,262.0,137,52,83,2,98.5,4.64,4.2,,0.91,-0.16,,,,,4.95,8.48,2.24,7.19,0.504,0.732,유격수
8,김규성,25 SS,0.402,22,10,108.0,60,19,38,3,95.0,4.75,3.46,,-0.43,0.03,,,,,3.06,5.38,0.88,3.94,0.312,0.402,유격수
9,심우준,25 SS,0.387,50,48,393.2,206,74,126,6,97.1,4.57,0.12,,1.11,-0.59,,,,,0.64,1.81,3.16,3.8,0.065,0.387,유격수
10,양도근,25 SS,0.306,27,7,97.0,53,21,31,1,98.1,4.82,2.19,,0.52,-0.39,,,,,2.32,4.52,0.68,3.0,0.237,0.306,유격수
11,장준원,25 SS,0.296,20,15,131.2,61,21,39,1,98.4,4.1,0.61,,0.21,1.07,,,,,1.89,11.33,1.02,2.91,0.192,0.296,유격수
12,권동진,25 SS,0.295,74,61,508.0,283,109,161,13,95.4,4.78,1.43,,-1.3,-1.51,,,,,-1.38,-2.59,4.28,2.9,-0.141,0.295,유격수
13,이도윤,25 SS,0.294,27,10,132.0,63,24,37,2,96.8,4.16,2.2,,0.71,-1.14,,,,,1.77,3.69,1.12,2.89,0.18,0.294,유격수
14,오명진,25 SS,0.239,16,15,128.1,69,28,39,2,97.1,4.7,2.63,,-0.32,-1.2,,,,,1.11,2.38,1.24,2.35,0.113,0.239,유격수
15,김한별,25 SS,0.151,11,1,31.0,18,5,12,1,94.4,4.94,1.35,,-0.34,0.25,,,,,1.26,4.33,0.22,1.48,0.129,0.151,유격수
16,김성현,25 SS,0.128,4,2,19.0,10,2,8,0,100.0,4.74,0.99,,0.1,,,,,,1.1,5.09,0.16,1.26,0.112,0.128,유격수
17,윤준혁,25 SS,0.111,4,0,11.0,4,0,4,0,100.0,3.27,0.54,,0.06,0.4,,,,,1.01,7.24,0.08,1.09,0.102,0.111,유격수
18,이유찬,25 SS,0.104,31,28,252.0,130,45,83,2,98.5,4.57,-1.32,,0.35,-0.37,,,,,-1.34,-4.82,2.36,1.02,-0.136,0.104,유격수
