Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,포지션
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,
48,박찬형,25 SS,-0.209,2,1,13.0,7,3,3,1,85.7,4.15,-0.65,,-0.44,-1.11,,,,,-2.19,-16.61,0.14,-2.05,-0.223,-0.209,유격수
49,오선진,25 SS,-0.269,37,15,170.0,64,31,30,3,95.3,3.23,-5.39,,0.92,0.57,,,,,-3.9,-8.92,1.26,-2.64,-0.397,-0.269,유격수
50,어준서,25 SS,-0.311,62,51,403.0,191,79,99,13,93.2,3.98,-5.25,,-0.86,-0.4,,,,,-6.51,-13.79,3.46,-3.05,-0.663,-0.311,유격수
51,서유신,25 SS,,1,0,1.0,1,0,0,1,0.0,0.0,-0.82,,-0.5,,,,,,-1.32,-31.59,,,-0.134,,유격수
51,홍종표,25 SS,,1,0,1.0,1,0,1,0,100.0,9.0,0.19,,0.01,,,,,,0.19,0.64,,,0.02,,유격수
51,김재호,25 SS,,1,1,0.2,0,0,0,0,0.0,0.0,,,0.0,,,,,,0.0,0.52,,,0.0,,유격수
51,김영웅,25 SS,,1,0,1.1,1,1,0,0,100.0,6.75,0.0,,0.01,,,,,,0.01,0.01,,,0.001,,유격수
51,이승현,25 SS,,2,0,2.0,2,2,0,0,100.0,9.0,0.29,,0.01,,,,,,0.3,10.77,,,0.03,,유격수
51,김태윤,25 SS,,1,0,1.0,0,0,0,0,0.0,0.0,-0.26,,0.01,,,,,,-0.25,-7.23,,,-0.026,,유격수
51,오서진,25 SS,,1,0,1.0,2,1,1,0,100.0,18.0,-0.74,,0.01,0.28,,,,,-0.45,-65.02,,,-0.042,,유격수
51,심재훈,25 SS,,1,0,1.0,2,1,1,0,100.0,18.0,0.45,,0.01,,,,,,0.46,2.87,,,0.047,,유격수
