Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,포지션
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,
8,김선빈,25 2B,0.94,35,1.03,-0.09,129,128,109,11,32,10,0,0,42,17,2,0,17,1,0,12,3,1,1,0.294,0.391,0.385,0.776,0.149,130.3,0.94,2루수
9,천성호,25 2B,0.91,46,0.35,0.56,133,131,112,16,24,8,1,0,34,11,3,1,14,5,0,22,1,2,0,0.214,0.328,0.304,0.632,0.1,83.4,0.91,2루수
10,김규성,25 2B,0.7,82,0.39,0.31,156,153,138,21,35,4,0,1,42,12,4,2,13,2,0,38,1,3,0,0.254,0.327,0.304,0.631,0.092,78.7,0.7,2루수
11,한태양,25 2B,0.7,59,0.7,-0.01,92,90,82,23,25,9,1,0,36,6,2,2,8,0,0,24,2,2,0,0.305,0.367,0.439,0.806,0.149,124.7,0.7,2루수
12,정준재,25 2B,0.59,83,0.88,-0.3,283,278,243,37,55,7,2,0,66,17,26,3,34,1,0,65,4,5,0,0.226,0.324,0.272,0.596,0.088,74.4,0.59,2루수
13,윤도현,25 2B,0.25,19,0.61,-0.36,73,73,68,11,19,3,0,4,34,9,1,0,4,1,0,15,0,0,0,0.279,0.329,0.5,0.829,0.146,124.6,0.25,2루수
14,오윤석,25 2B,0.17,54,0.24,-0.07,124,117,105,21,28,7,0,0,35,13,0,0,8,3,0,29,2,7,1,0.267,0.333,0.333,0.666,0.101,82.8,0.17,2루수
15,박민,25 2B,0.16,26,0.16,0.0,48,47,43,6,10,3,0,1,16,4,1,0,3,1,0,16,0,1,0,0.233,0.298,0.372,0.67,0.096,84.5,0.16,2루수
16,이승현,25 2B,0.16,4,0.12,0.03,1,1,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1.0,1.0,3.0,4.0,1.35,1322.7,0.16,2루수
17,홍종표,25 2B,0.14,44,-0.19,0.34,64,60,52,10,10,0,0,0,10,1,1,1,7,0,0,14,1,4,1,0.192,0.283,0.192,0.475,0.045,38.4,0.14,2루수
18,이도윤,25 2B,0.1,69,-0.13,0.23,172,167,158,18,37,6,3,0,49,26,1,0,6,2,0,33,3,5,1,0.234,0.269,0.31,0.579,0.061,49.5,0.1,2루수
19,황영묵,25 2B,0.08,80,0.42,-0.34,212,211,190,27,47,12,0,1,62,12,1,3,18,2,0,28,3,1,1,0.247,0.318,0.326,0.644,0.093,76.7,0.08,2루수
20,전태현,25 2B,0.06,59,0.22,-0.16,172,169,149,18,36,5,0,0,41,7,2,0,19,0,0,46,2,3,1,0.242,0.325,0.275,0.6,0.086,77.9,0.06,2루수
21,김병휘,25 2B,0.03,4,0.06,-0.02,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0.195,191.2,0.03,2루수
22,김태윤,25 2B,0.03,5,0.04,-0.01,2,2,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.575,563.2,0.03,2루수
23,최정용,25 2B,0.02,4,-0.09,0.11,6,6,6,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0.167,0.167,0.167,0.334,-0.039,-34.0,0.02,2루수
24,서건창,25 2B,-0.01,10,-0.09,0.08,26,24,22,1,3,1,0,1,7,2,1,0,2,0,0,5,1,2,0,0.136,0.208,0.318,0.526,0.043,35.6,-0.01,2루수
25,이태경,25 2B,-0.02,1,-0.02,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.166,-130.4,-0.02,2루수
26,박계범,25 2B,-0.05,50,0.18,-0.22,100,96,87,11,21,4,2,0,29,11,0,1,8,1,0,25,3,4,0,0.241,0.313,0.333,0.646,0.096,85.3,-0.05,2루수
27,여동건,25 2B,-0.05,11,-0.31,0.26,15,15,15,4,1,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0.067,0.067,0.067,0.134,-0.115,-106.1,-0.05,2루수
28,권혁빈,25 2B,-0.05,3,-0.1,0.04,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,-0.166,-141.2,-0.05,2루수
29,심재훈,25 2B,-0.08,23,-0.08,0.0,34,33,29,7,5,0,0,0,5,1,3,1,4,0,0,10,0,1,0,0.172,0.273,0.172,0.445,0.037,28.8,-0.08,2루수
30,김준상,25 2B,-0.16,9,-0.04,-0.12,17,16,15,1,3,1,0,0,4,0,0,0,0,1,0,8,0,1,0,0.2,0.25,0.267,0.517,0.036,32.9,-0.16,2루수
31,서유신,25 2B,-0.19,6,-0.14,-0.06,8,8,7,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0.0,0.125,0.0,0.125,-0.076,-74.1,-0.19,2루수
32,안주형,25 2B,-0.29,6,-0.12,-0.17,15,15,14,1,3,0,0,0,3,0,0,1,1,0,0,4,1,0,0,0.214,0.267,0.214,0.481,0.034,27.2,-0.29,2루수
33,강민성,25 2B,-0.47,20,-0.33,-0.14,28,28,23,0,1,0,0,0,1,1,0,0,4,0,0,10,1,0,1,0.043,0.179,0.043,0.222,-0.036,-29.8,-0.47,2루수
34,송지후,25 2B,-0.58,24,-0.71,0.13,69,69,64,3,9,1,0,1,13,4,0,1,2,2,0,15,2,0,1,0.141,0.188,0.203,0.391,-0.009,-8.1,-0.58,2루수
1,송성문,25 3B,4.06,92,3.59,0.47,406,405,360,54,103,21,1,14,168,51,13,1,43,1,2,61,6,0,2,0.286,0.362,0.467,0.829,0.154,140.2,4.06,3루수
2,문보경,25 3B,3.0,89,3.57,-0.57,383,382,319,57,91,14,1,14,149,64,2,0,56,3,2,57,8,0,5,0.285,0.392,0.467,0.859,0.171,150.0,3.0,3루수
3,노시환,25 3B,1.6,90,1.68,-0.09,389,384,337,62,79,14,1,18,149,62,10,4,43,7,7,88,11,0,2,0.234,0.332,0.442,0.774,0.129,105.4,1.6,3루수
4,김도영,25 3B,1.48,27,1.19,0.29,111,110,100,19,33,9,0,7,63,26,3,0,9,0,1,18,3,0,2,0.33,0.378,0.63,1.008,0.2,172.8,1.48,3루수
5,강승호,25 3B,0.95,76,0.25,0.69,263,263,239,31,52,14,2,3,79,26,9,1,16,7,0,78,6,0,1,0.218,0.285,0.331,0.616,0.079,68.9,0.95,3루수
6,황재균,25 3B,0.93,60,0.88,0.06,231,229,207,25,60,9,0,2,75,21,2,1,20,2,1,44,1,1,1,0.29,0.357,0.362,0.719,0.119,101.8,0.93,3루수
7,김휘집,25 3B,0.82,85,0.88,-0.06,303,302,268,36,59,10,1,10,101,27,3,0,23,11,0,63,3,1,0,0.22,0.308,0.377,0.685,0.106,89.6,0.82,3루수
8,김영웅,25 3B,0.8,73,0.28,0.52,284,283,256,35,61,12,1,9,102,32,4,2,25,1,2,86,3,0,2,0.238,0.306,0.398,0.704,0.106,85.2,0.8,3루수
9,임종성,25 3B,0.58,33,0.25,0.33,89,88,83,7,23,4,0,2,33,11,1,0,3,1,0,26,1,1,1,0.277,0.307,0.398,0.705,0.101,86.4,0.58,3루수
10,전병우,25 3B,0.57,42,0.46,0.11,71,71,54,10,13,1,0,1,17,6,0,0,16,1,0,21,1,0,0,0.241,0.423,0.315,0.738,0.163,128.1,0.57,3루수
11,허경민,25 3B,0.4,65,0.43,-0.03,266,265,236,26,62,10,0,2,78,20,3,0,22,6,1,25,11,1,1,0.263,0.34,0.331,0.671,0.104,86.3,0.4,3루수
12,김성현,25 3B,0.3,31,0.3,0.01,86,82,70,11,16,2,0,1,21,7,1,1,11,0,0,10,2,4,1,0.229,0.329,0.3,0.629,0.099,81.4,0.3,3루수
13,김한별,25 3B,0.27,42,0.25,0.02,39,38,33,9,10,0,0,0,10,3,1,0,2,3,0,3,1,1,0,0.303,0.395,0.303,0.698,0.123,106.2,0.27,3루수
14,박준순,25 3B,0.16,41,0.22,-0.06,109,108,101,12,31,2,0,2,39,7,4,2,4,1,0,21,1,1,2,0.307,0.333,0.386,0.719,0.108,93.6,0.16,3루수
15,문정빈,25 3B,0.1,21,-0.05,0.15,33,33,30,5,5,0,0,2,11,4,0,0,1,2,0,11,0,0,0,0.167,0.242,0.367,0.609,0.069,60.6,0.1,3루수
16,손호영,25 3B,0.04,53,-0.09,0.13,210,205,186,18,47,4,0,2,57,22,3,0,12,4,0,38,9,5,3,0.253,0.307,0.306,0.613,0.079,64.8,0.04,3루수
17,김민성,25 3B,-0.04,61,0.39,-0.43,177,176,152,18,38,7,0,2,51,23,0,1,21,2,0,29,5,1,1,0.25,0.347,0.336,0.683,0.115,92.2,-0.04,3루수
18,변우혁,25 3B,-0.13,40,-0.34,0.21,132,132,121,9,26,7,0,0,33,16,0,0,10,1,0,40,3,0,0,0.215,0.28,0.273,0.553,0.06,51.3,-0.13,3루수
19,이승원,25 3B,-0.13,1,-0.05,-0.08,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.166,-151.2,-0.13,3루수
20,여동욱,25 3B,-0.15,11,-0.05,-0.1,24,24,21,2,4,0,0,1,7,1,0,0,3,0,0,9,2,0,0,0.19,0.292,0.333,0.625,0.091,75.3,-0.15,3루수
21,정현창,25 3B,-0.15,4,-0.15,0.0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.166,-147.6,-0.15,3루수
22,이영빈,25 3B,-0.15,39,-0.08,-0.08,71,70,68,11,14,1,1,3,26,7,1,0,1,0,0,33,1,1,1,0.206,0.214,0.382,0.596,0.053,45.6,-0.15,3루수
23,김수윤,25 3B,-0.16,7,-0.17,0.0,12,12,11,0,1,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0.091,0.167,0.091,0.258,-0.049,-43.2,-0.16,3루수
24,박찬형,25 3B,-0.17,19,0.23,-0.4,54,54,50,8,17,0,1,1,22,5,0,1,4,0,0,9,1,0,0,0.34,0.389,0.44,0.829,0.159,131.2,-0.17,3루수
25,손용준,25 3B,-0.2,4,-0.13,-0.07,10,10,10,1,2,0,0,0,2,0,0,0,0,0,0,3,2,0,0,0.2,0.2,0.2,0.4,-0.014,-13.3,-0.2,3루수
26,석정우,25 3B,-0.2,21,0.28,-0.48,42,42,38,3,10,1,0,2,17,3,0,0,4,0,0,13,1,0,0,0.263,0.333,0.447,0.78,0.137,116.9,-0.2,3루수
27,양현종,25 3B,-0.23,9,-0.14,-0.09,12,12,10,1,1,0,0,0,1,0,0,0,2,0,0,5,0,0,0,0.1,0.25,0.1,0.35,0.018,17.1,-0.23,3루수
28,고영우,25 3B,-0.25,4,-0.1,-0.15,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,-0.166,-156.3,-0.25,3루수
29,김찬형,25 3B,-0.36,35,-0.49,0.12,74,73,69,4,13,2,0,0,15,5,0,0,3,1,0,13,3,1,0,0.188,0.233,0.217,0.45,0.016,13.9,-0.36,3루수
30,안상현,25 3B,-0.5,53,0.1,-0.6,135,134,123,16,32,4,1,1,41,7,8,4,10,0,0,46,1,1,1,0.26,0.313,0.333,0.646,0.092,77.2,-0.5,3루수
31,박지환,25 3B,-0.98,26,-0.69,-0.29,66,63,58,3,8,0,0,0,8,4,0,1,4,0,0,19,1,3,1,0.138,0.19,0.138,0.328,-0.024,-20.2,-0.98,3루수
1,박성한,25 SS,3.44,84,2.99,0.45,348,346,285,44,74,17,0,5,106,28,3,5,57,2,1,64,3,2,2,0.26,0.384,0.372,0.756,0.147,124.3,3.44,유격수
2,박찬호,25 SS,2.87,80,2.57,0.31,358,352,309,46,90,12,0,3,111,25,16,4,38,1,0,43,3,6,4,0.291,0.366,0.359,0.725,0.127,110.1,2.87,유격수
3,이재현,25 SS,2.74,86,2.41,0.33,338,332,274,47,66,14,0,10,110,44,4,0,45,8,1,74,6,5,6,0.241,0.357,0.401,0.758,0.138,110.6,2.74,유격수
4,김주원,25 SS,2.7,86,2.58,0.12,377,373,324,57,84,13,3,6,121,30,24,6,39,8,1,62,7,4,2,0.259,0.351,0.373,0.724,0.126,106.2,2.7,유격수
5,구본혁,25 SS,1.52,84,0.68,0.85,246,237,212,20,50,11,1,1,66,22,3,3,21,4,0,30,2,9,0,0.236,0.316,0.311,0.627,0.091,79.8,1.52,유격수
6,하주석,25 SS,1.45,51,0.73,0.72,161,155,144,20,42,7,0,2,55,14,1,1,7,4,0,38,4,6,0,0.292,0.342,0.382,0.724,0.116,95.3,1.45,유격수
7,오지환,25 SS,1.16,74,0.79,0.37,255,250,219,27,47,12,0,7,80,28,6,3,23,3,0,64,3,5,5,0.215,0.292,0.365,0.657,0.093,80.8,1.16,유격수
8,이유찬,25 SS,0.72,40,0.64,0.08,146,143,128,18,33,6,1,0,41,9,7,1,14,1,0,31,3,3,0,0.258,0.336,0.32,0.656,0.103,87.1,0.72,유격수
9,권동진,25 SS,0.56,77,0.73,-0.17,226,220,192,24,45,7,2,0,56,15,3,1,27,0,0,62,5,6,1,0.234,0.327,0.292,0.619,0.095,79.4,0.56,유격수
10,전민재,25 SS,0.49,76,1.25,-0.76,283,276,256,32,76,12,0,3,97,26,2,2,16,2,0,49,6,7,2,0.297,0.341,0.379,0.72,0.114,92.0,0.49,유격수
11,이호준,25 SS,0.21,59,0.5,-0.29,87,86,75,12,18,4,4,0,30,11,0,0,7,3,0,18,2,1,1,0.24,0.326,0.4,0.726,0.124,101.6,0.21,유격수
12,박민석,25 SS,0.14,19,0.08,0.05,21,21,19,5,5,1,1,0,8,1,0,1,2,0,0,4,0,0,0,0.263,0.333,0.421,0.754,0.135,117.8,0.14,유격수
13,박준영,25 SS,0.12,41,0.41,-0.29,126,125,111,9,25,8,0,1,36,10,3,0,10,3,0,32,1,1,1,0.225,0.304,0.324,0.628,0.087,76.0,0.12,유격수
14,김태진,25 SS,0.01,59,0.44,-0.43,181,180,165,18,42,9,1,3,62,13,0,0,13,0,1,33,5,1,2,0.255,0.306,0.376,0.682,0.097,87.8,0.01,유격수
15,양우현,25 SS,-0.01,2,-0.05,0.04,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.166,-146.5,-0.01,유격수
16,심우준,25 SS,-0.01,51,-0.08,0.07,158,152,143,19,30,5,1,1,40,13,5,0,7,2,0,30,2,6,0,0.21,0.257,0.28,0.537,0.047,38.9,-0.01,유격수
17,장준원,25 SS,-0.06,24,-0.2,0.14,64,61,58,4,13,2,0,0,15,5,0,0,3,0,0,10,2,3,0,0.224,0.262,0.259,0.521,0.042,36.2,-0.06,유격수
18,이재상,25 SS,-0.1,2,0.03,-0.13,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1.0,0.214,156.3,-0.1,유격수
19,박지훈,25 SS,-0.1,25,-0.13,0.03,8,7,6,3,1,0,0,0,1,0,0,0,0,1,0,2,1,1,0,0.167,0.286,0.167,0.453,0.035,31.9,-0.1,유격수
20,오선진,25 SS,-0.16,63,-0.18,0.03,115,112,103,7,22,4,0,1,29,13,0,0,6,3,0,32,2,3,0,0.214,0.277,0.282,0.559,0.059,54.2,-0.16,유격수
21,이선우,25 SS,-0.17,7,-0.06,-0.11,10,10,10,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0.3,0.5,0.017,14.9,-0.17,유격수
22,박승욱,25 SS,-0.26,33,-0.41,0.15,43,42,39,4,5,2,0,0,7,0,1,1,2,1,0,13,0,1,0,0.128,0.19,0.179,0.369,-0.011,-9.1,-0.26,유격수
23,어준서,25 SS,-0.85,68,0.18,-1.02,196,195,182,25,43,5,0,3,57,13,0,0,11,1,1,43,5,1,1,0.236,0.282,0.313,0.595,0.066,60.6,-0.85,유격수
